artistName,tags,hoursPlayed
Scorpions,"hard rock, classic rock, heavy metal, rock, 80s",2.244071111111111
The Notorious B.I.G.,"hip-hop, rap, gangsta rap, east coast rap, hip hop",2.2203744444444444
Sam Smith,"soul, pop, british, electronic, dance",2.1764925
SOFIA ISELLA,"female vocalists, experimental, art pop, indie, pop",2.1626922222222222
Matt Maltese,"indie pop, pop, singer-songwriter, indie, uk",2.148714722222222
Bruce Springsteen,"rock, classic rock, singer-songwriter, folk, 80s",2.131209722222222
Bon Jovi,"rock, hard rock, classic rock, 80s, hair metal",2.1309258333333334
Iron Maiden,"heavy metal, metal, nwobhm, hard rock, rock",2.117239722222222
Arctic Monkeys,"indie rock, indie, british, alternative, rock",2.0779958333333335
Sydney Rose,"singer-songwriter, indie pop, indie folk, folk pop, united states",2.0759619444444444
Paul McCartney,"classic rock, rock, british, singer-songwriter, pop",2.070943888888889
ABBA,"pop, disco, 70s, swedish, 80s",2.048907777777778
Labrinth,"electronic, british, rnb, dance, r&b",2.0028916666666667
Mitski,"indie rock, indie, indie pop, singer-songwriter, dream pop",1.97864
Olivia Dean,"soul, rnb, pop, indie, female vocalists",1.9333555555555555
Calvin Harris,"electronic, dance, electro, disco, electronica",1.9154808333333333
Leith Ross,"folk, singer-songwriter, indie pop, acoustic, canada",1.9098280555555556
Ice Cube,"hip-hop, rap, gangsta rap, west coast, hip hop",1.8935633333333333
Led Zeppelin,"classic rock, hard rock, rock, 70s, progressive rock",1.8882008333333333
JAY-Z,"hip-hop, rap, hip hop, east coast rap, jay-z",1.8498041666666667
Chase Atlantic,"rnb, australian, indie, rock, alternative",1.8444427777777779
Ms. Lauryn Hill,"soul, rnb, neo-soul, hip hop, hip-hop",1.8144708333333333
Mac DeMarco,"lo-fi, indie, post-punk, experimental, indie rock",1.8103491666666667
Natasha Bedingfield,"pop, female vocalists, british, singer-songwriter, female",1.7909461111111111
Joji,"lo-fi, rnb, hip-hop, alternative rnb, japanese",1.7893544444444445
Sleeping At Last,"indie, indie rock, alternative, christian, rock",1.7700930555555556
Ozzy Osbourne,"heavy metal, hard rock, metal, classic rock, rock",1.7284144444444445
張洢豪,chinese,1.725883888888889
Daryl Hall & John Oates,,1.7124422222222222
TV Girl,"indie pop, lo-fi, indie, chillwave, pop",1.6859002777777778
Celeste,"sludge, screamo, post-hardcore, black metal, french",1.6820472222222222
Psalt Marian Moise,"byzantine, religious, orthodox, orthodoxy, orthodox chant",1.6723122222222222
Suki Waterhouse,"indie pop, my top songs, indie, pop, female vocalists",1.6527344444444445
Bon Iver,"folk, indie, singer-songwriter, acoustic, lo-fi",1.642351388888889
Chris Isaak,"rock, blues, singer-songwriter, 80s, pop",1.6225130555555556
Brent Faiyaz,"rnb, soul, electronic, neo-soul, alternative rnb",1.620051111111111
Ray Charles,"jazz, soul, blues, rhythm and blues, piano",1.601243611111111
Ed Sheeran,"acoustic, british, singer-songwriter, pop, easy-listening",1.595376388888889
AURORA,"art pop, synthpop, indie pop, pop, norwegian",1.5817691666666667
Ravyn Lenae,"rnb, soul, neo-soul, alternative rnb, electronic",1.5733575
Big Thief,"indie rock, indie folk, folk, folk rock, indie",1.5672641666666667
Bryan Adams,"rock, classic rock, 80s, pop, canadian",1.5653969444444444
The Police,"rock, new wave, classic rock, 80s, pop",1.5428716666666666
RY X,"folk, indie, singer-songwriter, indie folk, australian",1.5425025
Holograf,"romanian, rock, pop-rock, hard rock, holograf",1.525118888888889
Saint Avangeline,"dream pop, pop, ethereal wave, indie, indie pop",1.4784772222222222
Love Spells,"newbreed, electronic, chillwave, post-whatever, dope",1.4638933333333333
traian,"rap, hip hop, underground hip-hop, hip-hop, scenecore",1.4473730555555555
Duran Duran,"new wave, 80s, pop, synth pop, rock",1.4414825
Nirvana,"grunge, rock, alternative rock, alternative, 90s",1.4309775
Addison Rae,"pop, american, electropop, alt-pop, queen of pop",1.4300791666666666
Don Henley,"classic rock, rock, 80s, singer-songwriter, soft rock",1.42496
Depeche Mode,"electronic, new wave, synthpop, synth pop, 80s",1.4181813888888888
Whitesnake,"hard rock, classic rock, 80s, rock, hair metal",1.411748611111111
Bob Dylan,"folk, singer-songwriter, classic rock, folk rock, rock",1.3943691666666667
Sia,"female vocalists, indie, chillout, trip-hop, downtempo",1.3578425
Men At Work,"80s, new wave, rock, australian, pop",1.3508466666666668
BUBBLE TEA AND CIGARETTES,"dream pop, slowcore, indie pop, indie rock, bedroom pop",1.3303830555555556
Chezile,"chillout, indie, pop, alternative, chill",1.3255819444444445
Foreigner,"classic rock, rock, hard rock, 80s, pop",1.3247288888888888
Omar Apollo,"rnb, soul, funk, indie, queer",1.3077458333333334
Oh Wonder,"minimal pop, indie, electronic, indie pop, pop",1.2999166666666666
