artistName,tags,hoursPlayed
Sonic Youth,"experimental, post-punk, alternative, indie, noise rock",1.2784705555555556
Faye Webster,"indie folk, singer-songwriter, indie, folk, country",1.2215491666666667
Weatherday,"noise pop, emo, lo-fi, indie, shoegaze",1.1833938888888889
Deafheaven,"black metal, post-black metal, atmospheric black metal, shoegaze, blackgaze",1.1638827777777778
Lian Ross,"disco, 80s, eurodisco, female vocalists, eurodance",1.1290919444444445
she's green,"shoegaze, dream pop, united states, alternative, indie pop",1.1158786111111112
Royal Blood,"rock, garage rock, alternative rock, blues rock, hard rock",1.0967752777777777
RIP Swirl,"idm, ambient, chillout, electronic, germany",1.0799258333333333
Dj Billybool,"greatest dj in the whole planet, drain gang, trance, rap, dance",1.0613652777777778
twikipedia,"digicore, pop rap, hyperpop, trap, emo rap",1.0501791666666667
Imogen Heap,"electronic, female vocalists, indie, alternative, singer-songwriter",1.0405666666666666
Sabrina Carpenter,"pop, female vocalists, rnb, american, my top songs",1.0182358333333332
Men I Trust,"dream pop, indie pop, indie, sophisti-pop, downtempo",1.0175491666666667
Don Toliver,"rap, trap, hip-hop, rnb, texas",1.0079888888888888
Caroline Polachek,"art pop, pop, electronic, synthpop, indie pop",1.0016969444444443
Kenshi Yonezu,"j-pop, japanese, j-rock, rock, male vocalists",0.973445
The Strokes,"indie rock, indie, rock, alternative, alternative rock",0.9209436111111111
Drake,"hip-hop, rap, rnb, hip hop, canadian",0.8959877777777778
Tame Impala,"psychedelic rock, psychedelic, indie rock, australian, rock",0.8722891666666667
Bassvictim,"electronic, electropop, electroclash, indietronica, uk",0.8708394444444445
¥$,"hip-hop, rap, hip hop, kanye west, trap",0.8579208333333334
BNYX®,"trap, rap, hip-hop, hip hop, philadelphia",0.8345677777777778
Ariana Grande,"pop, rnb, female vocalists, ariana grande, american",0.8264830555555556
Palmistry,"electronic, dancehall, rnb, doom metal, uk",0.8010213888888889
Paramore,"rock, pop punk, alternative, female vocalists, emo",0.7981686111111111
T33N X*,"rage rap, rap",0.7959625
Nettspend,"cloud rap, goat, trap, rage, ass",0.7954561111111111
julie,"shoegaze, noise pop, noise rock, grunge, pop",0.7594052777777778
adore,"ambient, electronic, downtempo, norwegian, electronic rock",0.7444638888888889
Good Tiger,"progressive metal, progressive rock, post-hardcore, math rock, alternative metal",0.7410258333333334
